职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
C/C++,30-40K·15薪,"['3-5年', '本科']","['C++', 'Linux开发/部署经验']",3-5年,本科,苏州,MOVA,1000-9999人,"['住房补贴', '五险一金', '生日福利', '带薪年假', '餐补', '补充医疗保险', '免费班车', '节日福利', '团建聚餐', '年终奖', '股票期权']"
C/C++,200-400元/天,"['4天/周', '3个月', '本科']","['C++', 'C', 'Java', 'Golang', 'STL', 'Linux开发/部署经验']",,本科,南京,阿里云,10000人以上,"['节日福利', '年终奖', '定期体检', '免费班车', '绩效奖金', '带薪年假', '五险一金', '餐补']"
C++/lua后端开发,15-30K,"['1-3年', '大专']","['Go', '数据结构', '服务器端开发', 'Linux', 'MySQL']",1-3年,大专,广州,广州问天,20-99人,"['零食下午茶', '包吃', '带薪年假', '全勤奖', '节日福利', '加班补助', '员工旅游', '五险一金']"
职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
Python 老师线上1对1,20-70元/时,"['1-3年', '硕士']","['Python', 'Django', 'MySQL']",1-3年,硕士,辽源,辽源市龙山区崛起...,20-99人,"['保底工资', '绩效奖金', '年终奖', '五险一金']"
Python 编程老师,4-6K,"['经验不限', '大专']","['Python', 'C/C++']",经验不限,大专,湘潭,恒悦机器人科技有...,0-20人,"['生日福利', '五险一金', '底薪加提成', '带薪年假', '保底工资', '节日福利', '全勤奖', '餐补', '绩效奖金', '免费工装']"
Python 实习工程师,200-250元/天,"['5天/周', '6个月', '本科']","['python', 'PyTorch', 'MySQL', '实习', 'Linux开发/部署经验', 'Python', 'TensorFlow']",,本科,威海,Strikingly,100-499人,"['绩效激励', '节日福利', '定期体检', '一日三餐', '带薪年假', '员工培训', '员工旅游', '零食下午茶']"
Python、C++、TensorFlow/Caffe高级实习岗,200-250元/天,"['6天/周', '10个月', '学历不限']","['Python', 'C++', 'PHP', 'PyTorch', 'MySQL', 'PostgreSQL', '架构设计经验', '机器学习经验', '爬虫经验', '云计算经验', 'AI直播', '抖音直播', '快手直播', '种植养殖基地工厂直播']",,学历不限,广州,国农,0-20人,[]
Python（后端工程师-Flask & Pandas）,10-14K,"['3-5年', '本科']","['RESTful API', 'Java', 'Pandas', 'MongoDB', 'Python', 'Flask', '熟悉SQL数据库及NoSQL']",3-5年,本科,北京,凯升威,20-99人,"['带薪年假', '五险一金', '节日福利']"
Python,20-40K·16薪,"['经验不限', '本科']",['Python'],经验不限,本科,上海,某中型企业服务公司,500-999人,[]
Python（ACM/ICPC/CCPC/篮桥杯优先）,20-40K·16薪,"['1-3年', '本科']","['Python', 'Django', 'Flask', 'Oracle', 'MongoDB', 'MySQL', 'Linux开发/部署经验', '分布式经验', '爬虫经验', '运维开发经验', '云计算经验', 'ACM', 'ICPC', '蓝桥杯', 'CCPC']",1-3年,本科,深圳,某大型全球ICT基础设施与智能终端民营公司,10000人以上,"['交通补助', '生日福利', '保底工资', '年终奖', '法定节假日三薪', '补充医疗保险', '零食下午茶', '绩效奖金', '员工旅游', '团建聚餐', '夜班补助', '五险一金', '节假日加班费', '节日福利', '免费班车', '股票期权', '定期体检', '带薪年假', '加班补助', '离职补偿']"
python 开发工程师,12-20K,"['3-5年', '本科']","['Python', 'Django', 'Flask', 'MySQL', 'PostgreSQL']",3-5年,本科,武汉,搜狐焦点海外,20-99人,"['带薪年假', '年终奖', '节日福利', '保底工资', '全勤奖', '团建聚餐', '绩效奖金']"
Python (AI开发方向),21-35K,"['5-10年', '大专']","['Python', 'PyTorch', 'MySQL', 'Redis', '架构设计经验', '团队管理经验', '分布式经验', '云计算经验', '机器学习经验', 'RAG', 'AIgent开发']",5-10年,大专,杭州,诚迈科技,1000-9999人,"['法定节假日三薪', '五险一金', '通讯补贴', '员工旅游', '免费班车', '加班补助', '团建聚餐', '餐补', '交通补助', '带薪年假', '定期体检', '节日福利']"
Python 开发工程师,20-35K·14薪,"['3-5年', '本科']","['Python', 'Golang', 'Django', 'Pandas', 'Flask']",3-5年,本科,武汉,元始智能科技,20-99人,"['免费工装', '住房补贴', '加班补助', '有无线网', '股票期权', '零食下午茶', '带薪年假', '生日福利', '节假日加班费', '五险一金', '年终奖', '节日福利', '定期体检', '团建聚餐', '绩效奖金']"
python Web开发工程师,10-15K,"['3-5年', '本科']","['python', 'PostgreSQL', 'Redis', 'cicd', 'docker', 'fastapi', 'git', 'Docker', '微服务经验', 'MySQL', '运维开发经验', 'Linux开发/部署经验', 'Python', 'Flask']",3-5年,本科,上海,鸿帆网络,20-99人,[]
Python,3-8K,"['1-3年', '大专']","['Python', 'C++', 'C#', 'Django', 'MySQL', '分布式经验', '运维开发经验']",1-3年,大专,保定,河北魔影网络科技,0-20人,[]
python/golang开发工程师,10-12K,"['3-5年', '本科']","['Golang', 'Docker', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Python', 'Flask']",3-5年,本科,蚌埠,蚌埠杰乐网络科技,0-20人,"['年终奖', '全勤奖', '加班补助', '五险一金']"
python,10-11K,"['3-5年', '本科']","['Python', 'Java', 'Golang', 'Docker', 'Kubernetes', 'MySQL']",3-5年,本科,南京,远浪,100-499人,"['免费班车', '带薪年假', '节日福利', '零食下午茶', '有无线网', '通讯补贴', '员工旅游', '节假日加班费', '五险一金', '团建聚餐', '年终奖', '加班补助', '餐补', '绩效奖金', '交通补助']"
对日高级软件开发工程师JAVA/C/Python,18-35K,"['3-5年', '大专']","['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'MySQL', '团队管理经验', '日语沟通交流']",3-5年,大专,南京,睿亭信息咨询,20-99人,"['生日福利', '加班补助', '保底工资', '绩效奖金', '年终奖']"
python,4-9K,"['3-5年', '学历不限']","['Django', 'MySQL', 'Python']",3-5年,学历不限,保定,河北码渔,0-20人,[]
Python,6-8K,"['3-5年', '大专']","['Python', 'PHP', 'Java']",3-5年,大专,梅州,广东联安健康产业,20-99人,"['节日福利', '团建聚餐', '全勤奖', '意外险', '五险一金']"
Python,100-200元/天,"['5天/周', '1个月', '学历不限']","['Python', 'Java', 'C++', 'PHP', 'Scrapy', 'Nginx', 'MySQL', '其他', 'Linux开发/部署经验', '爬虫经验']",,学历不限,枣庄,枣庄市峄城区谨食...,0-20人,[]
Python,10-15K,"['1-3年', '本科']","['Python', 'C++', 'MySQL', '量化交易开发经验']",1-3年,本科,保定,广嬴科技,20-99人,"['全勤奖', '节日福利', '绩效奖金', '保底工资', '企业年金', '股票期权', '年终奖', '底薪加提成', '团建聚餐', '带薪年假', '员工旅游', '五险一金', '生日福利', '有无线网']"
Python  实习生,100-120元/天,"['5天/周', '3个月', '大专']","['Python', 'Django', 'PyTorch', 'MySQL', 'Redis']",,大专,秦皇岛,海帝软件,20-99人,"['五险一金', '交通补助', '通讯补贴']"
Python,5-7K,"['1-3年', '本科']","['Python', 'Java', 'Pandas', 'Scrapy', 'Selenium', 'MySQL', '爬虫经验']",1-3年,本科,潍坊,海纳百川电子商务,100-499人,"['保底工资', '团建聚餐', '年终奖', '有无线网', '生日福利', '加班补助', '夜班补助', '交通补助', '宿舍有空调', '通讯补贴', '节日福利', '员工旅游', '绩效奖金', '底薪加提成', '五险一金', '带薪年假', '意外险']"
java/ C/C++js+/Python,15-30K·16薪,"['经验不限', '本科']","['Python', 'Golang', 'Java', 'C++', 'C', 'Django', 'MySQL', '运维开发经验', '云计算经验', '蓝桥杯']",经验不限,本科,杭州,上海华为,0-20人,[]
Python 线上面试 年终,20-25K·13薪,"['3-5年', '本科']","['Python', 'Django', 'Flask', 'MySQL', 'Oracle', '架构设计经验', 'Linux开发/部署经验']",3-5年,本科,珠海,拓维云创,1000-9999人,"['团建聚餐', '带薪年假', '零食下午茶', '定期体检', '员工旅游', '节日福利', '五险一金']"
ai应用开发（python）,10-12K,"['经验不限', '本科']","['Python', 'Django', 'MySQL']",经验不限,本科,唐山,华云科技,20-99人,"['五险一金', '零食下午茶', '加班补助', '员工旅游', '餐补', '法定节假日三薪', '生日福利', '定期体检', '节日福利', '通讯补贴', '带薪年假']"
Python 服务器工程师,15-24K,"['3-5年', '本科']","['分布式经验', 'Kafka', 'Redis', 'Docker', '微服务经验', 'Django', '云计算经验', 'MongoDB', '架构设计经验', 'Linux开发/部署经验', 'Python', 'Flask', 'Kubernetes']",3-5年,本科,常州,常州理界人工智能科技,0-20人,"['节日福利', '带薪年假', '股票期权', '五险一金']"
python,200-300元/天,"['5天/周', '3个月', '本科']","['Python', 'Flask', 'MySQL', '爬虫经验']",,本科,成都,蜀俊博凌,20-99人,['五险一金']
python 软件开发工程师,4-8K,"['经验不限', '大专']","['C#', 'Java', 'python', '软件开发工程师', 'Python']",经验不限,大专,平顶山,数采物联,0-20人,"['股票期权', '带薪年假', '生日福利']"
Python,5-8K·13薪,"['1-3年', '大专']","['Python', 'Node.js', '后端开发', '多线程', '多进程', '消息队列', '网络编程', '算法基础']",1-3年,大专,徐州,江苏文旭,100-499人,"['电影卡', '定期体检', '员工旅游', '年终奖', '带薪年假', '全勤奖', '零食下午茶', '健身卡', '补充医疗保险', '节日福利']"
Python（后端工程师-Flask & Pandas）,10-14K,"['3-5年', '本科']","['RESTful API', 'Java', 'Pandas', 'MongoDB', 'Python', 'Flask', '熟悉SQL数据库及NoSQL']",3-5年,本科,北京,凯升威,20-99人,"['带薪年假', '五险一金', '节日福利']"
Python 20K无责底薪,15-25K·13薪,"['经验不限', '学历不限']","['分布式经验', 'Docker', 'Django', 'MySQL', 'Python', 'Flask']",经验不限,学历不限,深圳,昼日,20-99人,[]
Python 程序化,10-80元/天,"['3天/周', '3个月', '硕士']","['金融股票', 'Pandas', 'MySQL', '机器学习经验', '程序化交易', 'Numpy', '量化交易开发经验', 'Python', '量化交易']",,硕士,河源,光大证券河源营业部,10000人以上,"['通讯补贴', '补充医疗保险', '带薪年假', '定期体检', '五险一金', '交通补助', '节日福利']"
Python,9-14K,"['经验不限', '大专']","['Python', 'Django', 'MySQL']",经验不限,大专,上海,上海翰翰智能科技,20-99人,"['年终奖', '五险一金']"
"Python、C++教师(五险一金包住,高薪诚聘)",6-11K,"['经验不限', '大专']","['机器学习/算法工程', 'Python', 'C/C++', '计算机相关专业', '机器学习工程经验']",经验不限,大专,鄂尔多斯,鄂尔多斯市东胜区...,100-499人,"['五险一金', '全勤奖', '交通补助', '股票期权', '年终奖', '带薪年假', '节日福利']"
Python 开发工程师,6-10K,"['3-5年', '本科']","['Python', 'Elasticsearch', 'TensorFlow', 'Kafka', 'Redis', 'MySQL', '架构设计经验']",3-5年,本科,襄阳,云溪数科,20-99人,"['生日福利', '定期体检', '企业年金', '年终奖', '绩效奖金', '股票期权', '带薪年假', '五险一金']"
Python 双休,15-25K·13薪,"['经验不限', '学历不限']","['Docker', 'Django', 'MySQL', 'Python', 'Flask']",经验不限,学历不限,深圳,深圳内山文化,20-99人,"['全勤奖', '团建聚餐', '保底工资', '底薪加提成', '定期体检', '五险一金']"
python,500-1500元/天,"['经验不限', '学历不限']","['Python', 'python', '大数据', '讲师']",经验不限,学历不限,南昌,小王虎科技,0-20人,"['年终奖', '工龄奖', '带薪年假', '底薪加提成', '保底工资', '绩效奖金', '员工旅游', '免费工装', '五险一金', '全勤奖', '团建聚餐']"
python AI开发工程师,6-8K,"['1年以内', '本科']",[],1年以内,本科,成都,成都灵启数科科技,20-99人,"['团建聚餐', '带薪年假', '五险一金']"
Python,6-7K,"['1-3年', '学历不限']","['Python', 'Flask', 'Scrapy', 'Docker', 'Nginx', 'Selenium', 'MySQL', 'Redis', 'MongoDB', '团队管理经验']",1-3年,学历不限,佛山,广州市爱乐八商贸,0-20人,"['补充医疗保险', '五险一金']"
python/php 实习生,200-300元/天,"['3天/周', '3个月', '本科']","['Python', 'PHP', 'MySQL']",,本科,大连,举企科技,20-99人,"['股票期权', '五险一金', '绩效奖金', '底薪加提成', '年终奖']"
Python（AI自然语言）,8-12K,"['3-5年', '大专']","['Scrapy', '分布式经验', 'Spark', 'Python']",3-5年,大专,上海,仙娱文化,20-99人,"['通讯补贴', '餐补', '节日福利', '法定节假日三薪', '团建聚餐', '定期体检', '零食下午茶', '五险一金', '绩效奖金', '带薪年假', '住房补贴', '全勤奖', '交通补助', '工龄奖', '生日金', '节假日加班费', '意外险', '补充医疗保险', '员工旅游', '生日福利']"
Python,40-60K·19薪,"['3-5年', '本科']",[],3-5年,本科,上海,上海塔山实业有限公司,20-99人,[]
python,20-25元/时,"['经验不限', '学历不限']","['Python', 'Java', 'C++', 'Tornado', 'Scrapy', 'PyTorch', 'Oracle', 'PostgreSQL', 'Spark', '爬虫经验', '运维开发经验', '云计算经验']",经验不限,学历不限,佛山,巨特斯,0-20人,"['底薪加提成', '五险一金']"
python Flask后端工程师,7-12K,"['1年以内', '学历不限']","['Python', 'Django', 'Flask', 'MySQL']",1年以内,学历不限,郑州,郑州引力琥珀人工...,0-20人,[]
深圳 Python,15-30K,"['3-5年', '大专']","['Django', 'MySQL', 'Python']",3-5年,大专,深圳,云创佳华,100-499人,[]
Python,100-150元/天,"['5天/周', '6个月', '大专']","['Django', 'MySQL', 'Python']",,大专,天津,天蝎客,20-99人,"['全勤奖', '法定节假日三薪', '带薪年假', '餐补', '底薪加提成', '员工旅游', '年终奖', '绩效奖金', '保底工资', '定期体检', '五险一金']"
python 后端,25-30K,"['1-3年', '本科']","['Python', 'Docker', 'Django', 'MySQL', 'Linux开发/部署经验']",1-3年,本科,北京,某中型互联网药物研发平台公司,100-499人,"['底薪加提成', '股票期权', '五险一金', '带薪年假', '绩效奖金', '补充医疗保险', '住房补贴', '团建聚餐', '节日福利', '零食下午茶']"
Python 实习生,150-250元/天,"['5天/周', '3个月', '本科']","['MySQL', 'Python', 'Flask']",,本科,杭州,赛脑智能,100-499人,"['通讯补贴', '节日福利', '交通补助', '股票期权', '年终奖', '免费工装', '零食下午茶', '员工旅游', '团建聚餐', '全勤奖', '生日福利', '绩效奖金', '五险一金', '带薪年假']"
python,8-13K,"['1-3年', '本科']","['Python', 'MySQL']",1-3年,本科,苏州,海南新临,100-499人,[]
初级 Python 开发工程师,8-13K·13薪,"['在校/应届', '本科']","['MySQL', 'Python']",在校/应届,本科,西安,庖丁科技,100-499人,"['生日福利', '节日福利', '年终奖', '零食下午茶', '带薪年假', '定期体检', '五险一金', '餐补']"
python（接受优秀25届）,20-40K·16薪,"['1-3年', '本科']","['分布式经验', 'Django', 'MySQL', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']",1-3年,本科,上海,某大型计算机软件非上市公司,10000人以上,"['加班补助', '补充医疗保险', '法定节假日三薪', '员工旅游', '团建聚餐', '零食下午茶', '夜班补助', '节日福利', '生日福利', '五险一金', '免费班车', '定期体检', '股票期权', '保底工资', '节假日加班费', '离职补偿', '年终奖', '带薪年假', '绩效奖金', '交通补助']"
Python,15-17K,"['5-10年', '大专']","['Java', '爬虫经验', 'Python']",5-10年,大专,南京,安徽佰多乾科技,20-99人,"['保底工资', '团建聚餐', '全勤奖', '带薪年假', '加班补助', '补充医疗保险', '通讯补贴', '底薪加提成', '员工旅游', '工龄奖', '意外险', '有无线网', '节假日加班费', '年终奖', '法定节假日三薪', '五险一金', '定期体检', '零食下午茶', '绩效奖金']"
