职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
机器人算法工程师,7-10K,"['1-3年', '硕士']","['C/C++', 'Python', 'TensorFlow/PyTorch', '计算机相关专业', '数学/统计相关专业']",1-3年,硕士,新乡,威猛股份,500-999人,"['餐补', '通讯补贴', '生日福利', '定期体检', '高温补贴', '免费班车', '五险一金', '节日福利']"
遥感数据工程师,5-7K,"['3-5年', '本科']","['大模型算法', '图像生成', 'ISP/3A算法', '融合感知算法', '目标检测', '多模态算法', 'Python', '图像处理库（OpenCV等）', '分布式训练', 'Java', '模型加速/性能优化', '优秀开源项目经历']",3-5年,本科,哈尔滨,融易汇智科技,20-99人,"['五险', '节日福利', '免费工装', '有无线网', '带薪年假', '团建聚餐', '零食下午茶']"
slam算法工程师,21-25K,"['经验不限', '本科']","['深度学习', 'C/C++', 'Python', 'HALCON']",经验不限,本科,成都,成都某中型电子/硬件开发公司,100-499人,"['节假日加班费', '加班补助', '年终奖', '带薪年假', '高温补贴', '定期体检', '团建聚餐', '绩效奖金', '节日福利', '零食下午茶', '法定节假日三薪', '住房补贴', '五险一金', '员工旅游']"
图像算法工程师,25-30K·16薪,"['1-3年', '硕士']","['机器学习', '三维重建', 'C/C++', 'MATLAB']",1-3年,硕士,苏州,苏州某小型智能硬件公司,20-99人,"['年终奖', '员工旅游', '五险一金', '法定节假日三薪', '零食下午茶', '节日福利', '意外险', '股票期权', '定期体检', '带薪年假']"
ocr算法工程师,15-25K·13薪,"['1-3年', '硕士']",['OCR识别经验'],1-3年,硕士,西安,西点信息,100-499人,"['团建聚餐', '加班补助', '补充医疗保险', '员工旅游', '绩效奖金', '股票期权', '交通补助', '零食下午茶', '底薪加提成', '带薪年假', '定期体检', '节日福利', '宿舍有空调', '包住', '保底工资', '五险一金', '通讯补贴', '有无线网', '年终奖']"
AI图像算法高级工程师(深度学习）,35-55K,"['3-5年', '本科']","['深度学习', '图像生成', '人像算法', 'SLAM算法', 'ISP/3A算法', '融合感知算法', 'C/C++', 'Java', '优秀开源项目经历']",3-5年,本科,深圳,深圳舞迪科技有限公司,20-99人,"['工龄奖', '保底工资', '绩效奖金', '加班补助', '年终奖', '五险一金', '全勤奖']"
多模态图像算法专家,35-65K·15薪,"['3-5年', '硕士']","['大模型算法', '多模态算法', '传统图像算法', '目标检测', '图像处理库（OpenCV等）', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', '优秀开源项目经历', '内容理解', '内容分类', '图像识别', '图像分类']",3-5年,硕士,上海,某大型互联网金融公司,1000-9999人,[]
图像算法工程师,15-30K·13薪,"['3-5年', '本科']","['Python', 'OpenCV', 'C/C++']",3-5年,本科,成都,成都纵横,500-999人,"['年终奖', '住房补贴', '团建聚餐', '带薪年假', '补充医疗保险', '节日福利', '定期体检', '五险一金', '意外险', '餐补']"
AI模型训练师,10-15K,"['经验不限', '本科']","['团队管理经验', '大模型算法', '图像处理库（OpenCV等）', 'midjourney、Pika', 'runway', 'Stable diffusion、', '图像生成', 'ComfyUI搭建', '优秀开源项目经历', 'Python', 'IPAdapter、']",经验不限,本科,珠海,明德设计,100-499人,"['团建聚餐', '五险一金', '带薪年假', '节日福利', '有无线网', '意外险']"
GPU图像算法工程师,25-40K,"['5-10年', '本科']","['图像搜索', '大模型算法', '图像处理库（OpenCV等）', '图像生成', 'SLAM算法']",5-10年,本科,西安,Oray,100-499人,"['补充医疗保险', '定期体检', '年终奖', '节日福利', '员工旅游', '试用期不打折', '五险一金', '带薪年假', '零食下午茶', '餐补']"
图像算法,25-50K·15薪,"['1-3年', '本科']","['C/C++', '图像算法', '图像处理库（OpenCV等）', '目标跟踪']",1-3年,本科,厦门,某500强上市公司,1000-9999人,"['带薪年假', '年终奖', '全勤奖', '效益奖金', '股票期权', '定期体检', '餐补', '节日福利', '五险一金', '绩效奖金']"
人工智能工程师（机器视觉）,25-35K,"['5-10年', '硕士']","['Java', 'C/C++', '机器学习', '深度学习', '图像处理库（OpenCV等）', '大模型算法', '多模态算法', '图像生成', '人像算法', '参加算法相关竞赛/获奖', '优秀开源项目经历', '模型加速/性能优化']",5-10年,硕士,北京,宏诚创新,100-499人,"['定期体检', '节日福利', '年终奖', '餐补', '五险一金', '加班补助', '带薪年假', '股票期权']"
NLP算法（内容安全）北京深圳上海,45-75K·15薪,"['经验不限', '本科']","['深度学习', '大模型算法', '机器学习', '目标检测', '多模态算法', 'OCR', '图像搜索', 'C/C++', '图像处理库（OpenCV等）', '发表算法相关优秀论文', '优秀开源项目经历', '内容安全策略']",经验不限,本科,北京,某大型互联网平台公司,1000-9999人,[]
AI算法岗（造影解析）,25-40K,"['3-5年', '硕士']","['大模型算法', '图像生成', '多模态算法', '传统图像算法', '图像搜索', 'C/C++', '图像处理库（OpenCV等）', '发表算法相关优秀论文', 'NLP', '医学影像分析']",3-5年,硕士,西安,某大型医疗器械公司,100-499人,"['团建聚餐', '年终奖', '五险一金', '带薪年假']"
Camera tuning,18-23K·15薪,"['1-3年', '大专']","['图像生成', '融合感知算法', '传统图像算法', 'C/C++', '图像处理库（OpenCV等）', 'camera  tuning']",1-3年,大专,武汉,华勤技术股份有限公司,10000人以上,"['五险一金', '餐补', '节日福利', '年终奖', '交通补助', '员工旅游', '股票期权', '定期体检', '带薪年假', '补充医疗保险']"
光声/超声研发博士后,30-40K,"['经验不限', '博士']","['深度学习', '大模型算法', '机器学习', 'Python', 'C/C++']",经验不限,博士,合肥,合肥人工智能研究院,100-499人,"['节日福利', '带薪年假', '五险一金', '年终奖', '定期体检']"
算法工程师,15-20K·14薪,"['1-3年', '硕士']","['C/C++', '机器学习', '目标检测', '深度学习', '图像处理库（OpenCV等）', '大模型算法', '优秀开源项目经历', 'Python']",1-3年,硕士,芜湖,奇瑞汽车股份有限公司,10000人以上,"['节日福利', '带薪年假', '加班补助', '免费工装', '餐补', '全勤奖', '定期体检', '免费班车', '高温补贴', '绩效奖金', '年终奖', '包住', '生日福利', '补充医疗保险', '包吃', '五险一金', '法定节假日三薪', '节假日加班费', '宿舍有空调', '交通补助']"
图像算法,6-8K,"['1-3年', '学历不限']","['CNN/RNN', 'Java', 'OpenCV', '计算机相关专业', 'ISP/3A算法经验', 'OCR识别经验']",1-3年,学历不限,郑州,河南乌鸦行为品牌运营,20-99人,"['团建聚餐', '绩效奖金', '五险一金', '带薪年假', '住房补贴', '零食下午茶', '餐补', '宿舍有空调', '包吃', '有无线网', '包住', '保底工资', '补充医疗保险']"
CV算法工程师岗,16-19K,"['3-5年', '本科']","['深度学习', '多模态算法', '图像生成', 'C/C++', 'Python']",3-5年,本科,广州,润建股份,1000-9999人,"['带薪年假', '年终奖', '节日福利', '零食下午茶', '五险一金']"
2D/3D--视觉算法工程师,20-35K,"['3-5年', '硕士']","['机器学习', '目标检测', '工业/缺陷检测', 'C/C++', '图像处理库（OpenCV等）', '2D/3D', 'OpenCV', '缺陷检测']",3-5年,硕士,深圳,某大型仪器仪表公司,100-499人,"['节日生日福利', '工龄奖', '团建聚餐', '定期体检', '五险一金', '员工旅游', '带薪年假', '年终奖', '定期培训', '年度调薪', '差旅补助', '生日福利', '年终奖', '节日福利', '意外险', '五险一金', '定期团建', '全年十三薪', '带薪年假', '绩效奖金']"
多模态算法,40-70K·16薪,"['经验不限', '硕士']","['C/C++', 'Python', '大模型算法', '深度学习', '多模态算法', '图像生成', '发表算法相关优秀论文']",经验不限,硕士,北京,上海某中型人工智能公司,100-499人,"['免费运动课程', '团建聚餐', '补充医疗保险', '住房补贴', '年终奖', '节日福利', '餐补', '带薪年假', '员工旅游', '五险一金', '定期体检', '生日福利']"
机器视觉算法工程师,18-25K·13薪,"['1-3年', '本科']","['C/C++', '计算机相关专业', '数学/统计相关专业', '自动化', '机器视觉算法', '工业通讯']",1-3年,本科,武汉,武汉川丰软件技术...,20-99人,"['节假日加班费', '工龄奖', '年终奖', '交通补助', '法定节假日三薪', '带薪年假', '五险一金', '节日福利', '意外险', '定期体检', '团建聚餐', '加班补助', '绩效奖金', '全勤奖', '生日福利', '员工旅游']"
高级影像效果调试工程师,50-70K·13薪,"['5-10年', '本科']","['ISP/3A算法', '参加算法相关竞赛/获奖', 'camera tuning', '相机效果调试', 'ISP图像处理', '3A算法']",5-10年,本科,深圳,某大型移动互联网公司,1000-9999人,"['生日福利', '补充医疗保险', '团建聚餐', '法定节假日三薪', '交通补助', '带薪年假', '股票期权', '六险一金', '五险一金', '定期体检', '员工旅游', '餐补', '零食下午茶', '住房补贴', '年终奖', '免费班车', '通讯补贴', '节日福利']"
ISP图像工程师,20-30K·13薪,"['3-5年', '本科']","['深度学习', '机器学习', '大模型算法', '多模态算法', 'C/C++', 'Python', '嵌入式开发', 'ISP图像调试', '图像质量评估']",3-5年,本科,深圳,三只蜜蜂,20-99人,"['年终奖', '保底工资', '带薪年假', '绩效奖金', '交通补助', '加班补助', '包吃', '餐补', '股票期权', '有无线网', '零食下午茶', '意外险', '五险一金', '节日福利', '团建聚餐', '底薪加提成', '生日福利']"
【内容理解，图像理解，商品理解，多模态】,50-70K·16薪,"['5-10年', '硕士']","['深度学习', '机器学习', '目标检测', '图像生成', '多模态算法', '图像搜索', '工业/缺陷检测', 'C/C++', 'Python']",5-10年,硕士,上海,某互联网公司,20-99人,"['五险一金', '节日福利', '企业年金', '定期体检', '员工旅游']"
机器视觉高级工程师,15-30K·14薪,"['5-10年', '本科']","['深度学习', '目标检测', '工业/缺陷检测', 'ISP/3A算法', '目标跟踪', '嵌入式开发', 'C/C++', '机器学习', 'OpenCV', '传统图像算法', '图像处理库（OpenCV等）', 'HALCON', 'Python']",5-10年,本科,福州,时邦达科技,0-20人,['五险一金']
图像视频算法,200-300元/天,"['5天/周', '12个月', '硕士']","['C/C++', '深度学习', '传统图像算法', '其他', '人像算法', '超分辨，显示hdr，视频图像增强，编解码', 'Python']",,硕士,北京,小米,10000人以上,"['年终奖', '补充医疗保险', '定期体检', '12%公积金', '五险一金', '股票期权', '餐补', '节日福利', '带薪年假']"
视觉算法实习生,150-300元/天,"['3天/周', '3个月', '硕士']","['深度学习', '机器学习', '目标检测', '工业/缺陷检测', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'HALCON', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', '优秀开源项目经历', '模型加速/性能优化']",,硕士,北京,昂坤视觉,100-499人,"['零食下午茶', '五险一金', '年终奖', '节假日加班费', '加班补助', '生日福利', '定期体检', '节日福利']"
机器视觉工程师|双休,12-24K,"['3-5年', '本科']","['图像处理库（OpenCV等）', 'HALCON', 'VisionPro', 'C#', 'YOLO']",3-5年,本科,上海,佰甫科技,20-99人,"['带薪年假', '餐补', '五险一金']"
高级人工智能工程师,15-25K·13薪,"['1-3年', '硕士']","['深度学习', '机器学习', '大模型算法', '多模态算法', '融合感知算法', 'C/C++', '图像处理库（OpenCV等）', 'HALCON', 'VisionPro', '分布式训练', '参加算法相关竞赛/获奖', '模型加速/性能优化', '优秀开源项目经历']",1-3年,硕士,苏州,昆山泽旭自动化,20-99人,"['年终奖', '全勤奖', '股票期权', '五险一金']"
国资汽车/AI算法工程师,18-22K·16薪,"['3-5年', '本科']",['图像生成'],3-5年,本科,南昌,某大型汽车研发/制造公司,10000人以上,[]
图像算法工程师,18-28K·13薪,"['3-5年', '硕士']","['工业/缺陷检测', '大模型算法', '多模态算法', '融合感知算法', '图像生成', '目标跟踪', '并行计算', '优秀开源项目经历', '发表算法相关优秀论文', 'DeepSeek', 'YOLO-Pose', 'Lora', '图像处理库（OpenCV等）', 'Python', '模型加速/性能优化']",3-5年,硕士,苏州,一际智能,20-99人,"['交通补助', '节日福利', '团建聚餐', '零食下午茶', '带薪年假', '五险一金', '餐补']"
机器视觉工程师（苏州）,9-14K,"['1-3年', '本科']","['C/C++', '分布式训练', '图像处理库（OpenCV等）', '工业/缺陷检测']",1-3年,本科,苏州,东声,100-499人,"['年终奖', '员工旅游', '零食下午茶', '包吃', '带薪年假', '五险一金', '团建聚餐', '通讯补贴', '生日福利', '补充医疗保险', '节日福利', '意外险', '定期体检', '免费工装', '高温补贴']"
理工博之研究员,55-85K·15薪,"['3-5年', '博士']","['深度学习', '机器学习', '大模型算法', '目标检测', '多模态算法', '图像生成', '人像算法', 'OCR', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'HALCON', 'MATLAB']",3-5年,博士,南京,某大型国企企业服务公司,500-999人,[]
图像算法工程师 （AI-ISP方向）,25-50K,"['3-5年', '硕士']","['大模型算法', 'ISP/3A算法', '图像处理库（OpenCV等）', 'AI-ISP 方向']",3-5年,硕士,深圳,杭州某中型互联网直播解决方案提供商公司,100-499人,"['带薪年假', '节日福利', '团建聚餐', '员工旅游', '生日福利', '全勤奖', '定期体检', '法定节假日三薪', '五险一金', '试用期全薪']"
Deepfake/活体检测/人脸识别算法专家,40-70K·16薪,"['3-5年', '硕士']","['深度学习', '目标检测', 'Python', '发表算法相关优秀论文', 'deepfake', '活体检测', '人脸识别', 'eKYC']",3-5年,硕士,上海,某大型知名互联网上市公司,10000人以上,"['五险一金', '零食下午茶', '年终奖', '股票期权', '员工旅游', '补充医疗保险', '餐补', '交通补助', '节日福利', '免费班车']"
